coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,Date,price_volatility,liquidity_ratio,price_ma_7,price_ma_30,24h_volume_ma_7,24h_volume_ma_30,price_volatility_7
Algorand,ALGO,1.773550258219495e-05,0.9123904881101376,0.5396565821749794,0.1060782036391792,0.0026162464814393,0.0061327048094253,2022-03-16,2022-03-16,0.0026080660444844604,0.4266056434704657,0.001310691093686403,0.07145547444898108,0.007722089362539701,0.08150453296161796,0.0026080660444844604
Stellar,XLM,4.536181035667979e-06,0.902377972465582,0.5494685200327064,0.1233062330623306,0.0044447908077373,0.0058227927941645,2022-03-16,2022-03-16,0.002632407175651815,0.7633434616103446,0.0012613947290453557,0.03841166131676614,0.006579389717987529,0.061290342774050224,0.002632407175651815
Uniswap,UNI,0.0002195681567099,0.921151439299124,0.5609157808667211,0.1128532713898567,0.0032534753707986,0.0052028290299182,2022-03-16,2022-03-16,0.002616250893802747,0.6253281343841799,0.001292551045401309,0.036199514159356884,0.0055442012257661145,0.050036227094219045,0.002616250893802747
Hedera,HBAR,4.852529013105604e-06,0.8961201501877347,0.5224856909239575,0.1033681765389082,0.0011315977904962,0.0049704788632178,2022-03-16,2022-03-16,0.0026616798462305927,0.22766373656071112,0.0011463918123558244,0.03619886718783257,0.00548123911643463,0.016740613687235586,0.0026616798462305927
Axie Infinity,AXS,0.00122424410929,0.9261576971214018,0.5789043336058871,0.1252419667053813,0.0049882907267267,0.0047266117845443,2022-03-16,2022-03-16,0.0004406603215255064,1.055362901399703,0.00029685194021689554,0.03592958685946535,0.0027946517647439726,0.016103774640148786,0.0004406603215255064
Decentraland,MANA,5.895586967589284e-05,0.90738423028786,0.5813573180703189,0.1107239643825009,0.0083074666245238,0.0046220666636589,2022-03-16,2022-03-16,0.00044675177902318933,1.7973489412953383,0.00028458246468603734,0.03593074343452883,0.003979381956086186,0.014152747570186298,0.00044675177902318933
Ethereum Classic,ETC,0.0006533669017505,0.916145181476846,0.5535568274734259,0.1099496709252806,0.0054478000770229,0.0045196579668525,2022-03-16,2022-03-16,0.00046489438563082207,1.2053567143747297,0.00031189417857960873,0.03595188746954134,0.004312809696963543,0.012075943980168794,0.00046489438563082207
Elrond,EGLD,0.0039437352352186,0.9123904881101376,0.5682747342600163,0.1523422377080913,0.0055029626334359,0.0044905475873188,2022-03-16,2022-03-16,0.0014258667556857512,1.2254546971011144,0.0008727512832419523,0.0360109565604022,0.004725197718677343,0.010728056665407087,0.0014258667556857512
The Sandbox,SAND,7.472595828195586e-05,0.8923654568210263,0.6312346688470972,0.1258226867982965,0.0170731089661128,0.0044080622045029,2022-03-16,2022-03-16,0.0014189737597237492,3.8731551811297877,0.0008827783942771363,0.03594421269308639,0.006529243169873843,0.010275228672493189,0.0014189737597237492
Internet Computer,ICP,0.0003944948318633,0.9061326658322904,0.543744889615699,0.1012388695315524,0.0027283260268926,0.0043580891024159,2022-03-16,2022-03-16,0.0014068357442792866,0.6260372293398399,0.0009077679192990506,0.035956696003278124,0.00645422183503013,0.009819169717870864,0.0014068357442792866
